,qid,uid,label
0,726c3abc84a99da48e27c2d8f19c2bc8,e85d05b6796c351e6a83cfc85309b023,0.0640909671783
1,3737dc50f0f4b1a3df77b96cbf9ce928,e13419f565027f9c64bdab889acd1cbe,0.0764775052667
2,a2adc7a16a129c2326706238e186cd11,b19ebc32f3d1de37e12792edc149993f,0.139025375247
3,56fadfe2695e9ce7c1e50d5f0fa705fb,ac0efd36e6f6eca572f448d6020dce89,0.11441399157
4,cf06c69d63dcab40a6f0b35d594d42b7,6aa377580a87ab45bc40da0cf220e530,0.343044668436
5,23f707b3c605454f7a095922777c2a58,74c3f0c758dd8c3ae3a9f486346f0c56,0.139692723751
6,40ed7a89f51921e410d278658b6563ac,f33d4e894c2229000114eab3a3fd8667,0.0852261558175
7,239ba3e9cfd9b2582e033b0446f7b6ce,eb597fb9e6c92106ad976a2bfc33f11a,0.101375743747
8,9c6ed35f3cfd9ce2bf8cc0277677772a,6f2645a07e0cb5a71be55d8d0aca535f,0.0971647426486
9,406eb8a04629fe6e453e793b5368faa8,ad5b4b01889ed750bc1de041409a889d,0.123743407428
10,0394717346380f37af9f332a6e0b711d,58f771da2d34ca41fcb73abef11d8f1e,0.182990834117
11,a35c0190ef079f7a60c8dfc285cf26f1,2c5cfd88c429376ba81e24d63b994a27,0.11545535177
12,b29bf04590df1c7a6addd2988fad288b,d6ab4e143e46ec81b876a2888d8dc6ac,0.112854965031
13,e9c9a59dd0ebae494529142c36724b50,aaf439c4848e24429382607541de5c3b,0.0869490355253
14,1414becd09ac3c7e1a0b1782619337f5,a9d3d55c7b7d67ab9432fd188d53c20b,0.100936055183
15,74ba90087fd503e145d1cd28fe797abc,8ad2cafcfc7230143ac23c9755766017,0.134953409433
16,52e0acdceb5c7cdb026b1c8fdadd33c5,ca5d0a9b29bf2882580bffb913ce53db,0.36373591423
17,075392b2e37d91d5f15e1d05f109d777,6be05503b779607a90a982bad61cba96,0.0978328660131
18,d0fe358c81a647357a14739426bcc56a,df032cfeeb60832c362f40324b6e99ef,0.0726780816913
19,ef265e821a3bef561432001bfc840652,751d30ac482b02dc8690c2fd0d5f8940,0.110722370446
20,26657dee07de118cb0c3ae1e17062c14,610d84fe5c9c5531950ecde17a5af8d9,0.131936475635
21,34cd2a39357cb5fb698736e8953e304d,e651a55cca49f474717e7b4c5d9096ba,0.0873708575964
22,1d75ef2319f9d48d9216d9c8a9ab1889,6b716a47720d242ef1c704b59685bfa8,0.104332730174
23,582d150177b3ce0118b6ed5304e28751,5b70c52b0adff11e043b1eeb93afc1b5,0.089548625052
24,1eee8a95050b0752b154fdb168068995,6e018502dd4aae18613550450bc43759,0.130987375975
25,1abb503d34d6031b5f7884e39e61aa4b,22114f320d6def8a075cceaf9418f506,0.0999103859067
26,3eb35f5efb6c1474cbd848696e6c9a31,6c7d7830b7b6b1a65f8572558aa0aade,0.103146269917
27,3f1568bd33ce20bc621134697e27d7cd,ff0a28d82e8e1b7c8b45452699fb6987,0.276226073503
28,4f446605048d038404a2b4e121abb562,64d101c21df8e67b8471950457059907,0.0942234545946
29,3eaa72bd29f95954bb054faa185dc179,4c62f58cf9c15d338bb7e70a66e5c0c9,0.103111840785
30,ec4044876556feb6340a19732ad580d5,6aba8a33ea1f9cf82e97db1147207230,0.133157938719
31,2cdf5061fcc50d016d29ad19e91ef8e8,35d88ccf0d7212bfd1b0524a45767b51,0.119940109551
