qid,uid,label
726c3abc84a99da48e27c2d8f19c2bc8,e85d05b6796c351e6a83cfc85309b023,3.29395
3737dc50f0f4b1a3df77b96cbf9ce928,e13419f565027f9c64bdab889acd1cbe,1.16176
a2adc7a16a129c2326706238e186cd11,b19ebc32f3d1de37e12792edc149993f,3.17747
56fadfe2695e9ce7c1e50d5f0fa705fb,ac0efd36e6f6eca572f448d6020dce89,2.37534
cf06c69d63dcab40a6f0b35d594d42b7,6aa377580a87ab45bc40da0cf220e530,0.847372
23f707b3c605454f7a095922777c2a58,74c3f0c758dd8c3ae3a9f486346f0c56,1.45617
40ed7a89f51921e410d278658b6563ac,f33d4e894c2229000114eab3a3fd8667,5.5205
239ba3e9cfd9b2582e033b0446f7b6ce,eb597fb9e6c92106ad976a2bfc33f11a,3.30429
9c6ed35f3cfd9ce2bf8cc0277677772a,6f2645a07e0cb5a71be55d8d0aca535f,0.117686
406eb8a04629fe6e453e793b5368faa8,ad5b4b01889ed750bc1de041409a889d,1.8371
0394717346380f37af9f332a6e0b711d,58f771da2d34ca41fcb73abef11d8f1e,2.37156
a35c0190ef079f7a60c8dfc285cf26f1,2c5cfd88c429376ba81e24d63b994a27,4.39569
b29bf04590df1c7a6addd2988fad288b,d6ab4e143e46ec81b876a2888d8dc6ac,2.29376
e9c9a59dd0ebae494529142c36724b50,aaf439c4848e24429382607541de5c3b,4.52396
1414becd09ac3c7e1a0b1782619337f5,a9d3d55c7b7d67ab9432fd188d53c20b,4.43956
74ba90087fd503e145d1cd28fe797abc,8ad2cafcfc7230143ac23c9755766017,4.00849
52e0acdceb5c7cdb026b1c8fdadd33c5,ca5d0a9b29bf2882580bffb913ce53db,4.97802
075392b2e37d91d5f15e1d05f109d777,6be05503b779607a90a982bad61cba96,2.85608
d0fe358c81a647357a14739426bcc56a,df032cfeeb60832c362f40324b6e99ef,1.50707
ef265e821a3bef561432001bfc840652,751d30ac482b02dc8690c2fd0d5f8940,2.0126
26657dee07de118cb0c3ae1e17062c14,610d84fe5c9c5531950ecde17a5af8d9,3.40413
34cd2a39357cb5fb698736e8953e304d,e651a55cca49f474717e7b4c5d9096ba,6.92834
1d75ef2319f9d48d9216d9c8a9ab1889,6b716a47720d242ef1c704b59685bfa8,6.71593
582d150177b3ce0118b6ed5304e28751,5b70c52b0adff11e043b1eeb93afc1b5,1.52847
1eee8a95050b0752b154fdb168068995,6e018502dd4aae18613550450bc43759,2.59672
1abb503d34d6031b5f7884e39e61aa4b,22114f320d6def8a075cceaf9418f506,1.18449
3eb35f5efb6c1474cbd848696e6c9a31,6c7d7830b7b6b1a65f8572558aa0aade,5.94604
3f1568bd33ce20bc621134697e27d7cd,ff0a28d82e8e1b7c8b45452699fb6987,1.62985
4f446605048d038404a2b4e121abb562,64d101c21df8e67b8471950457059907,1.53433
3eaa72bd29f95954bb054faa185dc179,4c62f58cf9c15d338bb7e70a66e5c0c9,2.25009
ec4044876556feb6340a19732ad580d5,6aba8a33ea1f9cf82e97db1147207230,5.33127
2cdf5061fcc50d016d29ad19e91ef8e8,35d88ccf0d7212bfd1b0524a45767b51,4.73234
23f05d5503963d1cfbf14d4d59f89816,474c655982ebb745f0e4e9e74d202e8c,0.0882042
1a8d5bc46faba6483009db74a66a888c,4b3506a08b8122eb6f0c9eddfd8e6008,4.7783
a29e605791fb05f72c0ecd416df9b62d,0e996ce4c5c876c301b200bd09fd9dc0,4.95854
585aeeba5d73ec1c083f15813a810d89,355578d08a7f930928de386295d30255,1.48262
4ab2055385e1eac057b25aec7675731c,f2b5edfd6a6057c274087a95aca8f70d,3.74739
e41c1cd63f5fec42611afa9aa0efd1e8,a2874ea6ca3a152b95894aa3934219dc,1.74154
fcdba2e0f1975721f04b74a31c6b97bd,2f3f1da8513128ec0734c216b6b20104,4.72347
f5e7cd6e2da35c524e5a64af0f184db8,509dc06b2431b90dcda79468af19a17d,4.31726
